id,primaryName,birth_date,death_year
55,Bill Paxton,20/11/1955,04/04/2017 0:00
56,Ryan Phillippe,25/08/1974,NULL
57,Natalie Portman,20/04/1981,NULL
58,Parker Posey,02/07/1968,NULL
59,Christina Ricci,05/09/1980,NULL
60,Molly Ringwald,13/09/1968,NULL
61,Mimi Rogers,07/11/1956,NULL
62,Winona Ryder,14/10/1971,NULL
63,Susan Sarandon,18/08/1946,NULL
64,Kristin Scott Thomas,19/08/1960,NULL
65,Steven Seagal,16/07/1952,NULL
66,Charlie Sheen,20/03/1965,NULL
67,Brooke Shields,15/12/1965,NULL
68,Elisabeth Shue,24/07/1963,NULL
69,Alicia Silverstone,07/06/1976,NULL
70,Christian Slater,16/08/1969,NULL
71,Mira Sorvino,03/11/1967,NULL
72,Uma Thurman,14/05/1970,NULL
73,Jennifer Tilly,18/03/1958,NULL
74,John Travolta,19/09/1954,NULL
75,Liv Tyler,08/09/1977,NULL
76,Mark Wahlberg,25/10/1971,NULL
77,Robin Williams,08/04/1951,22/06/2014 0:00
78,Bruce Willis,19/12/1955,NULL
79,Timothy Dowling,11/05/1973,NULL
80,Ben Affleck,27/11/1972,NULL
81,Stephanie Zimbalist,17/11/1956,NULL
82,Ann-Margret,02/08/1941,NULL
83,Fanny Ardant,25/09/1949,NULL
84,David Arquette,08/01/1971,NULL
85,Rosanna Arquette,13/10/1959,NULL
86,Sean Astin,22/03/1971,NULL
87,Adam Baldwin,05/10/1962,NULL
88,Alec Baldwin,05/08/1958,NULL
89,Stephen Baldwin,16/05/1966,NULL
90,Kate Beckinsale,11/01/1973,NULL
91,Tom Berenger,21/12/1949,NULL
92,Michael Biehn,14/01/1956,NULL
93,Brian Blessed,05/05/1936,NULL
94,Ernest Borgnine,24/01/1917,25/09/2012 0:00
95,Bruce Boxleitner,15/12/1950,NULL
96,Tim Burton,08/10/1958,NULL
97,Yancy Butler,28/12/1970,NULL
98,Lacey Chabert,24/08/1982,NULL
99,Richard Chamberlain,04/08/1934,NULL
100,Jackie Chan,01/04/1954,NULL
101,Rachael Leigh Cook,28/12/1979,NULL
102,Macaulay Culkin,15/09/1980,NULL
103,Donna D'Errico,18/04/1968,NULL
104,Vincent D'Onofrio,19/08/1959,NULL
105,Rebecca De Mornay,20/09/1959,NULL
106,Danny DeVito,20/11/1944,NULL
107,Julie Delpy,26/01/1969,NULL
108,Gérard Depardieu,20/07/1948,NULL
109,Michael Dorn,20/12/1952,NULL
110,Brad Dourif,01/05/1950,NULL
111,Richard Dreyfuss,13/08/1947,NULL
112,Kirsten Dunst,04/12/1982,NULL
113,Jennifer Ehle,17/09/1969,NULL
114,Danny Elfman,26/03/1953,NULL
115,Sam Elliott,17/03/1944,NULL
116,Emilio Estevez,16/08/1962,NULL
117,Corey Feldman,16/02/1974,NULL
118,Sally Field,27/07/1946,NULL
119,Laurence Fishburne,25/06/1961,NULL
120,Bridget Fonda,15/06/1964,NULL
121,Jane Fonda,05/05/1937,NULL
122,Vivica A. Fox,02/06/1964,NULL
123,Brendan Fraser,14/10/1968,NULL
124,Edward Furlong,12/12/1977,NULL
125,Andy Garcia,02/10/1956,NULL
126,Crispin Glover,15/02/1964,NULL
127,Danny Glover,16/10/1946,NULL
128,Valeria Golino,08/01/1965,NULL
129,Cuba Gooding Jr.,16/12/1968,NULL
130,John Goodman,14/01/1952,NULL
131,Pam Grier,12/09/1949,NULL
132,Mark Hamill,06/05/1983,NULL
133,Daryl Hannah,11/04/1960,NULL
134,Ed Harris,15/01/1950,NULL
135,Neil Patrick Harris,24/12/1973,NULL
136,Noah Hathaway,13/02/1971,NULL
137,Dan Hedaya,18/03/1940,NULL
138,Lance Henriksen,26/09/1940,NULL
139,Natasha Henstridge,04/06/1974,NULL
140,Lauren Holly,24/06/1963,NULL
141,Dennis Hopper,14/11/1936,25/09/2010 0:00
142,Holly Hunter,06/09/1958,NULL
143,John Hurt,18/08/1940,19/08/2017 0:00
144,William Hurt,15/05/1950,28/09/2022 0:00
145,Timothy Hutton,11/11/1960,NULL
146,Michael Ironside,25/11/1950,NULL
147,Ron Jeremy,11/05/1953,NULL
148,Patsy Kensit,08/03/1968,NULL
149,Sally Kirkland,06/12/1941,NULL
150,Christopher Lambert,03/08/1957,NULL
151,Spike Lee,12/12/1957,NULL
152,John Leguizamo,19/03/1960,NULL
153,Jennifer Jason Leigh,25/12/1962,NULL
154,Téa Leoni,02/08/1966,NULL
155,Matthew Lillard,05/11/1970,NULL
156,Bai Ling,10/12/1976,NULL
157,Ray Liotta,15/11/1954,26/04/2022 0:00
158,Christopher Lloyd,20/11/1938,NULL
159,Amy Locane,27/04/1971,NULL
160,William H. Macy,27/03/1950,NULL
161,Michael Madsen,28/08/1957,NULL
162,John Malkovich,17/07/1953,NULL
163,Sophie Marceau,18/08/1966,NULL
164,Samantha Mathis,06/11/1970,NULL
165,Debi Mazar,20/06/1964,NULL
166,Andrew McCarthy,18/02/1962,NULL
167,Frances McDormand,13/03/1957,NULL
168,Malcolm McDowell,23/04/1943,NULL
169,Kelly McGillis,11/11/1957,NULL
170,Rose McGowan,08/12/1973,NULL
171,Colm Meaney,05/07/1953,NULL
172,Dina Meyer,25/10/1968,NULL
173,Penelope Ann Miller,18/12/1964,NULL
174,Alfred Molina,11/11/1953,NULL
175,Dermot Mulroney,21/06/1963,NULL
176,Eddie Murphy,22/09/1961,NULL
177,Liam Neeson,18/02/1952,NULL
178,Sam Neill,18/05/1947,NULL
179,Judd Nelson,22/09/1959,NULL
180,Leslie Nielsen,15/03/1926,18/11/2010 0:00
181,Nick Nolte,17/10/1941,NULL
182,Jeremy Northam,24/10/1961,NULL
183,Julia Ormond,19/07/1965,NULL
184,Ron Perlman,02/10/1950,NULL
185,Luke Perry,17/12/1966,12/06/2019 0:00
186,Robert Picardo,07/06/1953,NULL
187,Edgar Allan Poe,08/09/1900,22/03/1968 0:00
188,Jason Priestley,28/07/1969,NULL
189,Bill Pullman,27/07/1953,NULL
190,Kathleen Quinlan,13/03/1954,NULL
191,Sam Raimi,25/09/1959,NULL
192,John C. Reilly,24/07/1965,NULL
193,Burt Reynolds,15/07/1936,01/01/2018 0:00
194,Ving Rhames,05/11/1959,NULL
195,Denise Richards,18/09/1971,NULL
196,Joely Richardson,22/09/1965,NULL
197,John Ritter,09/01/1948,24/07/2003 0:00
198,Eric Roberts,07/03/1956,NULL
199,Isabella Rossellini,05/08/1952,NULL
200,Tim Roth,11/08/1961,NULL
201,Mickey Rourke,22/09/1952,NULL
202,Johnathon Schaech,18/07/1969,NULL
203,Liev Schreiber,08/11/1967,NULL
204,William Shakespeare,08/09/1900,22/03/1968 0:00
205,Ally Sheedy,07/08/1962,NULL
206,Gary Sinise,11/11/1955,NULL
207,Marina Sirtis,17/12/1955,NULL
208,Alan Smithee,18/10/1985,NULL
209,Sissy Spacek,17/08/1949,NULL
210,Terence Stamp,17/03/1938,NULL
211,Madeleine Stowe,27/11/1958,NULL
212,David Strathairn,16/08/1949,NULL
213,Donald Sutherland,27/06/1935,NULL
214,Kiefer Sutherland,04/12/1966,NULL
215,Patrick Swayze,25/01/1952,18/11/2009 0:00
216,D.B. Sweeney,17/09/1980,NULL
217,David Thewlis,19/06/1963,NULL
218,Emma Thompson,22/06/1959,NULL
219,Fred Thompson,21/01/1942,12/11/2015 0:00
220,Billy Bob Thornton,03/08/1955,NULL
221,Marisa Tomei,05/01/1964,NULL
222,Robin Tunney,07/03/1972,NULL
223,Kathleen Turner,11/04/1954,NULL
224,Deborah Kara Unger,02/10/1966,NULL
225,Casper Van Dien,26/09/1968,NULL
226,Christopher Walken,10/11/1943,NULL
227,Lesley Ann Warren,09/10/1946,NULL
228,John Waters,07/12/1946,NULL
229,Kate Winslet,15/12/1975,NULL
230,BD Wong,16/08/1960,NULL
231,Sean Young,02/08/1959,NULL
232,Billy Zane,18/06/1966,NULL
233,Caroline Aaron,12/07/1952,NULL
234,Victoria Abril,22/04/1959,NULL
235,Joey Lauren Adams,10/10/1968,NULL
236,Tim Allen,27/03/1953,NULL
237,Maria Conchita Alonso,19/07/1957,NULL
238,Kevin Anderson,22/04/1960,NULL
239,Christina Applegate,07/11/1971,NULL
240,Tom Arnold,28/03/1959,NULL
241,Dana Ashbrook,04/06/1967,NULL
242,Linden Ashby,09/03/1960,NULL
243,Edward Asner,27/02/1929,01/02/2021 0:00
244,Armand Assante,28/11/1949,NULL
245,Daniel Auteuil,28/01/1950,NULL
246,Jane Badler,26/05/1953,NULL
247,Maxine Bahns,03/12/1971,NULL
248,Kathy Baker,04/11/1950,NULL
249,Bob Balaban,18/08/1945,NULL
250,Daniel Baldwin,15/08/1960,NULL
251,Olivia Barash,14/02/1984,NULL
252,Jean-Marc Barr,28/12/1960,NULL
253,Paul Bartel,22/09/1938,25/02/2000 0:00
254,Robin Bartlett,13/09/1951,NULL
255,Randall Batinkoff,18/04/1968,NULL
256,Patrick Bauchau,14/02/1981,NULL
257,Steven Bauer,17/02/1956,NULL
258,Noah Baumbach,09/03/1969,NULL
259,Jennifer Beals,10/12/1963,NULL
260,Ed Begley Jr.,16/06/1949,NULL
261,Jean-Paul Belmondo,18/07/1933,15/05/2021 0:00
262,Robby Benson,26/06/1956,NULL
263,Patrick Bergin,26/08/1951,NULL
264,Steven Berkoff,24/06/1937,NULL
265,Corbin Bernsen,24/09/1954,NULL
266,Adrian Biddle,21/10/1952,13/01/2005 0:00
267,Karen Black,11/05/1939,08/05/2013 0:00
268,Brenda Blethyn,22/09/1946,NULL
269,Peter Bogdanovich,19/01/1939,13/02/2022 0:00
270,Timothy Bottoms,06/09/1951,NULL
271,Carole Bouquet,23/06/1957,NULL
272,Nicoletta Braschi,21/11/1960,NULL
273,Tinto Brass,06/03/1933,NULL
274,Benjamin Bratt,16/05/1963,NULL
275,Beau Bridges,13/08/1941,NULL
276,Lloyd Bridges,07/05/1913,24/03/1998 0:00
277,Jim Broadbent,20/04/1949,NULL
278,Bryan Brown,04/09/1947,NULL
279,Geneviève Bujold,23/06/1942,NULL
280,Ellen Burstyn,10/08/1932,NULL
281,Jake Busey,07/11/1971,NULL
282,James Caan,22/12/1940,12/08/2022 0:00
283,Dean Cain,13/09/1966,NULL
284,Robert Carlyle,06/04/1961,NULL
285,David Carradine,20/04/1936,25/12/2009 0:00
286,Robert Carradine,05/03/1954,NULL
287,Maxwell Caulfield,08/09/1959,NULL
288,Ben Chaplin,26/06/1970,NULL
289,Geraldine Chaplin,16/12/1944,NULL
290,Josh Charles,28/07/1971,NULL
291,Joan Chen,27/07/1961,NULL
292,Julie Christie,25/05/1940,NULL
293,Ethan Coen,06/09/1957,NULL
294,Joel Coen,02/07/1954,NULL
295,Toni Collette,17/09/1972,NULL
296,Joan Collins,25/05/1933,NULL
297,Jeffrey Combs,02/08/1954,NULL
298,Jason Connery,14/03/1963,NULL
299,Courteney Cox,19/10/1964,NULL
300,Jon Cryer,16/04/1965,NULL
301,Kieran Culkin,20/09/1982,NULL
302,Alan Cumming,13/05/1965,NULL
303,Charles Dance,12/06/1946,NULL
304,Blythe Danner,06/07/1943,NULL
305,Robert Davi,03/09/1951,NULL
306,Embeth Davidtz,19/04/1965,NULL
307,Ossie Davis,22/06/1917,03/02/2005 0:00
308,Bruce Davison,16/02/1946,NULL
309,Dom DeLuise,17/08/1933,13/03/2009 0:00
310,Dana Delany,06/03/1979,NULL
311,Bruce Dern,28/01/1936,NULL
312,Susan Dey,11/08/1952,NULL
313,Stephen Dorff,09/01/1973,NULL
314,Illeana Douglas,14/08/1961,NULL
315,Michael Dudikoff,05/04/1986,NULL
316,Patrick Duffy,17/03/1949,NULL
317,Adrian Dunbar,08/12/1958,NULL
318,Griffin Dunne,25/04/1955,NULL
319,Roy Dupuis,08/10/1963,NULL
320,Charles Durning,17/07/1923,20/06/2012 0:00
321,James Duval,10/02/1972,NULL
322,Aaron Eckhart,28/06/1968,NULL
323,Nicole Eggert,19/10/1972,NULL
324,Carmen Electra,25/03/1972,NULL
325,Jenna Elfman,07/10/1971,NULL
326,Adam Sandler,28/09/1966,NULL
327,Jeff Fahey,07/08/1952,NULL
328,Gary Farmer,28/12/1953,NULL
329,Mia Farrow,09/01/1945,NULL
330,Rainer Werner Fassbinder,27/12/1945,25/03/1982 0:00
331,Joseph Fiennes,07/05/1970,NULL
332,Tara Fitzgerald,27/08/1967,NULL
333,Fionnula Flanagan,03/04/1941,NULL
334,Sean Patrick Flanery,07/01/1965,NULL
335,Peter Fonda,13/04/1940,04/07/2019 0:00
336,Claire Forlani,23/07/1971,NULL
337,William Forsythe,06/04/1955,NULL
338,Meg Foster,03/12/1948,NULL
339,Stephen Frears,16/03/1941,NULL
340,Matt Frewer,27/09/1958,NULL
341,Peter Gallagher,03/02/1955,NULL
342,Vincent Gallo,22/12/1961,NULL
343,James Gandolfini,15/06/1961,28/10/2013 0:00
344,Ben Gazzara,12/03/1930,22/04/2012 0:00
345,Jason Gedrick,28/05/1965,NULL
346,Bobcat Goldthwait,25/12/1962,NULL
347,Louis Gossett Jr.,18/06/1936,NULL
348,Heather Graham,12/10/1970,NULL
349,Kelsey Grammer,10/07/1955,NULL
350,Richard E. Grant,09/11/1957,NULL
351,Seth Green,04/12/1974,NULL
352,Joel Grey,18/06/1932,NULL
353,Christopher Guest,05/09/1948,NULL
354,Carla Gugino,28/08/1971,NULL
355,John Hannah,04/02/1962,NULL
356,Mark Harmon,03/07/1951,NULL
357,Valerie Harper,25/01/1939,03/12/2019 0:00
358,Ian Hart,01/02/1964,NULL
359,Hal Hartley,02/10/1959,NULL
360,Josh Hartnett,14/11/1978,NULL
361,David Hasselhoff,23/07/1952,NULL
362,John Heard,25/04/1946,22/06/2017 0:00
363,Katherine Heigl,16/11/1978,NULL
364,Gregg Henry,16/04/1981,NULL
365,Werner Herzog,09/03/1942,NULL
366,Terence Hill,04/11/1939,NULL
367,Ciarán Hinds,14/07/1953,NULL
368,Paul Hogan,15/12/1939,NULL
369,Tobe Hooper,11/04/1943,05/10/2017 0:00
370,C. Thomas Howell,21/07/1966,NULL
371,Kim Hunter,14/04/1922,02/07/2002 0:00
372,Isabelle Huppert,28/12/1953,NULL
373,Anjelica Huston,22/04/1951,NULL
374,Natalie Imbruglia,23/03/1975,NULL
375,Amy Irving,05/06/1953,NULL
376,Irène Jacob,09/02/1966,NULL
377,Marianne Jean-Baptiste,08/03/1967,NULL
378,Angelina Jolie,27/03/1975,NULL
379,Carol Kane,26/07/1952,NULL
380,William Katt,01/08/1951,NULL
381,Catherine Keener,08/05/1959,NULL
382,Udo Kier,09/02/1975,NULL
383,Greg Kinnear,15/03/1963,NULL
384,Kris Kristofferson,04/01/1936,NULL
385,Neil LaBute,17/08/1963,NULL
386,Anthony LaPaglia,10/11/1959,NULL
387,Cheryl Ladd,04/03/1951,NULL
388,Christine Lahti,19/12/1950,NULL
389,Lorenzo Lamas,19/04/1958,NULL
390,Martin Landau,11/02/1928,27/04/2017 0:00
391,Frank Langella,26/01/1938,NULL
392,Angela Lansbury,12/08/1925,19/06/2022 0:00
393,Martin Lawrence,06/05/1965,NULL
394,James Le Gros,08/11/1962,NULL
395,Jet Li,23/03/1963,NULL
396,Laura Linney,25/07/1964,NULL
397,Tom Lister Jr.,23/11/1958,08/06/2020 0:00
398,Shelley Long,08/06/1949,NULL
399,Jon Lovitz,13/10/1957,NULL
400,John Lynch,15/09/1961,NULL
401,Kelly Lynch,08/10/1959,NULL
402,Penny Marshall,27/06/1943,06/01/2018 0:00
403,Dylan McDermott,09/08/1961,NULL
404,Christopher McDonald,06/10/1982,NULL
405,Natascha McElhone,22/08/1969,NULL
406,Elizabeth McGovern,28/10/1961,NULL
407,Don McKellar,18/03/1963,NULL
408,Meat Loaf,18/01/1947,06/12/2022 0:00
409,Jonny Lee Miller,18/03/1972,NULL
410,Rachel Miner,16/12/1980,NULL
411,Rita Moreno,18/09/1931,NULL
412,Kathy Najimy,04/09/1957,NULL
413,Chuck Norris,26/08/1940,NULL
414,Catherine O'Hara,05/03/1954,NULL
415,Michael O'Keefe,26/11/1955,NULL
416,Edward James Olmos,02/09/1947,NULL
417,Ashley Olsen,26/08/1986,NULL
418,Mary-Kate Olsen,23/05/1986,NULL
419,Miranda Otto,05/12/1967,NULL
420,Joanna Pacula,18/04/1957,NULL
421,Chazz Palminteri,18/12/1952,NULL
422,Joe Pantoliano,02/09/1951,NULL
423,Michael Paré,22/02/1958,NULL
424,Robert Patrick,22/10/1958,NULL
425,Adrian Paul,28/03/1959,NULL
426,Guy Pearce,02/01/1967,NULL
427,Elizabeth Perkins,26/08/1960,NULL
428,Mekhi Phifer,23/08/1974,NULL
429,Bronson Pinchot,18/07/1959,NULL
430,Amanda Plummer,03/04/1957,NULL
431,Christopher Plummer,22/06/1929,21/08/2021 0:00
432,Kevin Pollak,15/10/1957,NULL
433,Jürgen Prochnow,17/04/1941,NULL
434,Randy Quaid,08/12/1950,NULL
435,Linnea Quigley,18/07/1958,NULL
436,Aidan Quinn,05/07/1959,NULL
437,Rob Reiner,10/06/1947,NULL
438,Judge Reinhold,15/07/1975,NULL
439,James Remar,08/04/1953,NULL
440,Jonathan Rhys Meyers,24/12/1977,NULL
441,Diana Rigg,27/02/1938,13/11/2020 0:00
442,Chris Rock,13/04/1965,NULL
443,Robert Rodriguez,09/11/1968,NULL
444,Mark Rolston,12/01/1956,NULL
445,George A. Romero,24/11/1940,17/06/2017 0:00
446,John Savage,08/10/1985,NULL
447,Devon Sawa,21/05/1978,NULL
448,Roy Scheider,18/08/1932,11/10/2008 0:00
449,Rob Schneider,06/12/1963,NULL
450,Campbell Scott,01/12/1961,NULL
451,Kyra Sedgwick,10/03/1965,NULL
452,Chloë Sevigny,01/12/1976,NULL
453,Rufus Sewell,11/06/1967,NULL
454,Tony Shalhoub,10/10/1953,NULL
455,Wallace Shawn,04/08/1943,NULL
456,Craig Sheffer,20/09/1960,NULL
457,Deborah Shelton,28/09/1948,NULL
458,Sam Shepard,14/02/1943,15/02/2017 0:00
459,Talia Shire,02/04/1946,NULL
460,Martin Short,25/11/1950,NULL
461,Jonathan Silverman,01/04/1966,NULL
462,Tom Sizemore,06/05/1961,03/06/2023 0:00
463,Maggie Smith,01/04/1934,NULL
464,Steven Soderbergh,12/06/1963,NULL
465,P.J. Soles,10/09/1950,NULL
466,Todd Solondz,28/07/1959,NULL
467,Barry Sonnenfeld,24/10/1953,NULL
468,Kevin Sorbo,17/06/1958,NULL
469,Timothy Spall,28/10/1957,NULL
470,Jerry Springer,11/02/1944,08/12/2023 0:00
471,Fisher Stevens,16/01/1963,NULL
472,Stella Stevens,12/05/1938,06/05/2023 0:00
473,Ben Stiller,22/02/1965,NULL
474,Whit Stillman,16/02/1952,NULL
475,Dean Stockwell,07/07/1936,02/12/2021 0:00
476,Kristy Swanson,16/01/1969,NULL
477,Danny Trejo,03/05/1944,NULL
478,Stanley Tucci,26/10/1960,NULL
479,John Turturro,28/08/1957,NULL
480,Robert Vaughn,11/02/1932,11/08/2016 0:00
481,Jesse Ventura,02/03/1951,NULL
482,Tom Waits,25/02/1949,NULL
483,Andrew Kevin Walker,01/10/1964,NULL
484,M. Emmet Walsh,11/03/1935,NULL
485,David Warner,04/08/1941,13/12/2022 0:00
486,Rachel Weisz,15/08/1970,NULL
487,George Wendt,11/03/1948,NULL
488,Frank Whaley,08/01/1963,NULL
489,Forest Whitaker,20/09/1961,NULL
490,Billy Dee Williams,10/01/1937,NULL
491,JoBeth Williams,16/12/1948,NULL
492,Treat Williams,18/07/1951,17/07/2023 0:00
493,Vanessa Williams,15/07/1963,NULL
494,Mare Winningham,07/07/1959,NULL
495,Michael York,20/03/1942,NULL
496,Steve Zahn,15/05/1967,NULL
497,David Zucker,09/10/1947,NULL
498,Olivia d'Abo,21/12/1969,NULL
499,John M. Davis,11/02/1978,NULL
500,Norma Aleandro,10/11/1936,NULL
501,Josiane Balasko,07/09/1950,NULL
502,Marco Beltrami,20/04/1966,NULL
503,Luca Bercovici,04/08/1971,NULL
504,Steve Bisley,24/07/1951,NULL
505,Rubén Blades,13/02/1948,NULL
506,Romane Bohringer,09/12/1973,NULL
507,Elizabeth Bracco,16/03/1957,NULL
508,Carter Burwell,18/02/1954,NULL
509,Tantoo Cardinal,08/12/1950,NULL
510,Elpidia Carrillo,11/09/1961,NULL
511,Vincent Cassel,23/04/1966,NULL
512,Shin'ichi Chiba,02/06/1939,07/09/2021 0:00
513,David Chokachi,23/03/1968,NULL
514,Sarita Choudhury,02/04/1966,NULL
515,Ben Cross,23/04/1947,28/07/2020 0:00
516,Maria Grazia Cucinotta,18/06/1968,NULL
517,Ruby Dee,28/08/1922,27/07/2014 0:00
518,Charles Dickens,08/09/1900,22/03/1968 0:00
519,Kathryn Erbe,18/07/1965,NULL
520,Will Ferrell,02/12/1967,NULL
521,Jason Flemyng,18/12/1966,NULL
522,Dexter Fletcher,27/03/1966,NULL
523,Samuel Fuller,20/01/1912,13/09/1997 0:00
524,Robin Givens,07/11/1964,NULL
525,Judith Godrèche,12/10/1972,NULL
526,Tess Harper,05/10/1950,NULL
527,Kathryn Harrold,06/09/1950,NULL
528,Ashok Amritraj,14/01/1957,NULL
529,John Debney,10/12/1956,NULL
530,Claude Miller,14/11/1942,27/07/2012 0:00
531,John Frizzell,26/10/1966,NULL
532,Carlos Gallardo,19/09/1975,NULL
533,Sam Douglas,17/11/1957,NULL
534,David A. Armstrong,14/02/1980,NULL
535,Håkan Holmberg,15/11/1957,NULL
536,Jeff Marsh,08/03/1961,NULL
537,Carl Davis,19/03/1936,05/02/2023 0:00
538,Fred Murphy,18/11/1942,NULL
539,Stephen McNutt,01/11/1973,NULL
540,Al Sapienza,09/05/1982,NULL
541,Stephen Lang,27/08/1952,NULL
542,Brahm Wenger,13/02/1983,NULL
543,Roger Christian,28/12/1944,NULL
544,Gregory Avellone,28/03/1983,NULL
545,Dante Basco,19/07/1975,NULL
546,Samuel Vartek,11/10/1969,NULL
547,Linda Moran,08/01/1986,NULL
548,Barry Stone,10/05/1945,NULL
549,Lloyd A. Silverman,11/11/1981,NULL
550,Nicholas Tabarrok,23/04/1979,NULL
551,Cam Cronin,17/01/1972,NULL
552,Shannon Elizabeth,19/12/1973,NULL
553,Guy Camara,24/04/1964,NULL
554,T.C. Christensen,15/03/1978,NULL
555,David Avallone,05/09/1965,NULL
556,Sabine El Gemayel,15/12/1983,NULL
557,Jeff Mazzola,04/12/1974,NULL
558,Thomas A. Ohanian,17/08/1960,NULL
559,Nick O'Hagan,28/03/1977,NULL
560,Jasper Randall,23/03/1974,NULL
561,Emmy Rossum,02/10/1986,NULL
562,Mena Suvari,12/05/1979,NULL
563,Vanja Cernjul,02/08/1974,NULL
564,Adam Nordén,20/11/1971,NULL
565,Michael A. Levine,08/05/1964,NULL
566,Paul Maslak,25/11/1986,NULL
567,Norman Orenstein,26/10/1980,NULL
568,Tracy Granger,16/11/1975,NULL
569,Benedikt Brydern,13/11/1972,NULL
570,Michael Gibbs,28/05/1937,NULL
571,Les Weldon,08/11/1981,NULL
572,Joseph Conlan,05/10/1988,NULL
573,C. Davis Smith,10/04/1930,21/11/2017 0:00
574,Joshua Tunick,06/11/1977,NULL
575,Michael Doherty,05/09/1975,NULL
576,Tim Clague,02/05/1973,NULL
577,Matt Mayer,20/07/1977,NULL
578,Ashley Edner,25/04/1990,NULL
579,Christopher Leone,23/07/1984,NULL
580,Andrea V. Rossotto,06/05/1978,NULL
581,Muse Watson,16/04/1948,NULL
582,Alexander Skarsgård,15/06/1976,NULL
583,Enrique Chediak,27/10/1967,NULL
584,Julie St. Claire,05/12/1970,NULL
585,Normand Corbeil,09/11/1956,12/07/2013 0:00
586,Andrew Stevens,07/06/1955,NULL
587,Shawn K. Clement,26/12/1968,NULL
588,Alan Ari Lazar,15/01/1977,NULL
589,Andrew Parke,08/03/1982,NULL
590,James DuMont,05/10/1965,NULL
591,Job ter Burg,09/11/1975,NULL
592,Christine Lakin,17/04/1979,NULL
593,Anthony C. Ferrante,08/09/1969,NULL
594,Steve Cubine,20/06/1976,NULL
595,Matthew Williams,05/02/1975,NULL
596,Ingo Frenzel,13/05/1966,NULL
597,David Klein,20/07/1972,NULL
598,Amy E. Duddleston,14/10/1972,NULL
599,Michael Katleman,17/01/1960,NULL
600,Sean McGinly,02/09/1976,NULL
601,Kevin Williams,10/03/1975,NULL
602,Peter Wunstorf,04/05/1959,NULL
603,Jon Kull,20/10/1982,NULL
604,Jerome Bixby,15/02/1923,12/02/1998 0:00
605,Tim Sullivan,07/09/1958,NULL
606,Steve Gainer,06/09/1962,NULL
607,Warren Yeager,13/09/1982,NULL
608,Roger Cardinal,06/04/1979,20/07/2017 0:00
609,Jordi Mollà,12/06/1968,NULL
610,Philip Schulz-Deyle,14/02/1972,NULL
611,Richard Horowitz,14/10/1949,NULL
612,Marc Shaiman,14/09/1959,NULL
613,Steve Schoenberg,28/06/1979,NULL
614,Peter Foldy,07/09/1991,NULL
615,Wedigo von Schultzendorff,16/03/1945,NULL
616,Howard Heard,21/01/1980,NULL
617,Declan Recks,04/07/1976,NULL
618,Peter Benison,12/03/1987,NULL
619,Matthias Grunsky,03/04/1975,NULL
620,Derek Vaughn,27/11/1983,NULL
621,Steven R. Monroe,10/10/1964,NULL
622,Jack Haigis,03/04/1987,NULL
